hit_index,time_s,strength_peak,strength_integral,broadband_at_peak,prev_gap_s,next_gap_s,window_start_s,window_stop_s,peak_0.414100_Hz,peak_3.357200_Hz,peak_11.319000_Hz,peak_11.988500_Hz,peak_15.943200_Hz,peak_16.776400_Hz,peak_17.904200_Hz,peak_18.421400_Hz
1,31.081050000,0.120580501,0.197845490,0.213557679,,57.207150000,32.081050000,52.081050000,0.017632466,0.032773824,0.000171332,0.000361450,0.000141550,0.000544753,0.000131915,0.000206899
2,88.288200000,0.086849042,0.137828637,0.189642466,57.207150000,62.612550000,89.288200000,109.288200000,0.024041036,0.065937519,0.000273776,0.000053826,0.000217853,0.000312392,0.000177158,0.000140365
3,150.900750000,0.112485290,0.192549876,0.212086266,62.612550000,30.330300000,151.900750000,171.900750000,0.028023939,0.028970901,0.000534303,0.000295450,0.000275193,0.000238038,0.000162911,0.000218765
4,181.231050000,0.147824022,0.227628652,0.284508988,30.330300000,34.084050000,182.231050000,202.231050000,0.011349939,0.123336191,0.000729054,0.000244834,0.000170124,0.000884673,0.000234037,0.000189820
5,215.315100000,0.158491496,0.203582231,0.296996592,34.084050000,33.933900000,216.315100000,236.315100000,0.023441994,0.019427846,0.000312833,0.000312523,0.000777076,0.000755783,0.000388762,0.000458368
6,249.249000000,0.171162514,0.211523277,0.306971940,33.933900000,23.273250000,250.249000000,270.249000000,0.018778449,0.104954029,0.000516692,0.000132148,0.000391168,0.000842478,0.000189322,0.000145980
7,272.522250000,0.227817162,0.395483571,0.396503708,23.273250000,59.008950000,273.522250000,293.522250000,0.025935129,0.027145341,0.000443993,0.000227807,0.000188645,0.000894831,0.000266030,0.000189233
8,331.531200000,0.078122251,0.139215025,0.169846453,59.008950000,32.132100000,332.531200000,352.531200000,0.008866051,0.050534930,0.000510225,0.000234724,0.000274989,0.000295150,0.000056428,0.000165684
9,363.663300000,0.152039926,0.242960613,0.295816576,32.132100000,27.777750000,364.663300000,384.663300000,0.017714227,0.082166104,0.000863705,0.000332945,0.000308965,0.000610960,0.000374995,0.000251781
10,391.441050000,0.088441001,0.144730638,0.232378427,27.777750000,30.030000000,392.441050000,412.441050000,0.014250410,0.101691121,0.000627681,0.000112907,0.000178625,0.000303125,0.000113858,0.000141604
11,421.471050000,0.655472868,0.350461694,0.821358502,30.030000000,30.030000000,422.471050000,442.471050000,0.008727576,0.129195852,0.000370193,0.000234402,0.000127265,0.000491201,0.000170397,0.000074178
12,451.501050000,0.731668955,0.530937331,0.921775166,30.030000000,30.930900000,452.501050000,472.501050000,0.013390811,0.037121856,0.001260301,0.000269664,0.000521380,0.000630284,0.000284309,0.000151810
13,482.431950000,0.163183074,0.226873153,0.328509640,30.930900000,5.705700000,483.431950000,503.431950000,0.035245836,0.141294505,0.000821113,0.000343829,0.000709665,0.000608117,0.000151621,0.000233062
14,488.137650000,0.062442399,0.063538485,0.259350677,5.705700000,23.423400000,489.137650000,509.137650000,0.032742085,0.140299454,0.000543609,0.000274348,0.000311130,0.000413352,0.000251362,0.000145994
15,511.561050000,1.097024222,0.714388517,1.308163134,23.423400000,30.030000000,512.561050000,532.561050000,0.016793211,0.072264775,0.000604759,0.000192799,0.000216013,0.000348321,0.000220004,0.000224396
16,541.591050000,0.551337994,0.294003606,0.726029109,30.030000000,29.729700000,542.591050000,562.591050000,0.006335974,0.072489816,0.000814876,0.000254550,0.000292182,0.000631553,0.000145577,0.000176309
17,571.320750000,0.519003528,0.491507228,0.680728741,29.729700000,,572.320750000,592.320750000,0.022525466,0.043826504,0.000872397,0.000381906,0.000390214,0.000316521,0.000381213,0.000213750
