dataset,component,hit_index,time_s,strength_peak,strength_integral,broadband_at_peak
CDX_10IC,x,1,31.081050000,0.120580501,0.197845490,0.213557679
CDX_10IC,x,2,88.288200000,0.086849042,0.137828637,0.189642466
CDX_10IC,x,3,150.900750000,0.112485290,0.192549876,0.212086266
CDX_10IC,x,4,181.231050000,0.147824022,0.227628652,0.284508988
CDX_10IC,x,5,215.315100000,0.158491496,0.203582231,0.296996592
CDX_10IC,x,6,249.249000000,0.171162514,0.211523277,0.306971940
CDX_10IC,x,7,272.522250000,0.227817162,0.395483571,0.396503708
CDX_10IC,x,8,331.531200000,0.078122251,0.139215025,0.169846453
CDX_10IC,x,9,363.663300000,0.152039926,0.242960613,0.295816576
CDX_10IC,x,10,391.441050000,0.088441001,0.144730638,0.232378427
CDX_10IC,x,11,421.471050000,0.655472868,0.350461694,0.821358502
CDX_10IC,x,12,451.501050000,0.731668955,0.530937331,0.921775166
CDX_10IC,x,13,482.431950000,0.163183074,0.226873153,0.328509640
CDX_10IC,x,14,488.137650000,0.062442399,0.063538485,0.259350677
CDX_10IC,x,15,511.561050000,1.097024222,0.714388517,1.308163134
CDX_10IC,x,16,541.591050000,0.551337994,0.294003606,0.726029109
CDX_10IC,x,17,571.320750000,0.519003528,0.491507228,0.680728741
