freq_hz,amplitude,prominence,generator_rank
0.417480,1.203594,1.137127,2
0.607910,0.260777,0.172813,20
0.959473,0.479754,0.416850,11
1.237793,0.160802,0.092871,39
1.479492,0.638082,0.581757,8
1.677246,0.178734,0.096653,34
1.904297,0.276094,0.195001,18
2.167969,0.345790,0.291783,14
2.534180,0.140541,0.082286,49
3.054199,0.434456,0.306553,12
3.354492,2.441997,2.389826,1
3.508301,0.206634,0.056017,29
3.640137,0.253578,0.161896,22
3.771973,0.143741,0.055322,47
3.969727,0.786742,0.726618,4
4.372559,0.330247,0.260413,15
4.511719,0.213632,0.144569,26
4.753418,0.207633,0.154017,28
4.929199,0.129567,0.075647,55
5.200195,0.110783,0.052054,63
5.427246,0.376515,0.323906,13
6.145020,0.273533,0.086566,19
6.342773,0.778967,0.728931,5
6.496582,0.574140,0.194342,10
6.745605,0.176765,0.080431,35
6.870117,0.178967,0.066241,33
7.031250,0.251486,0.171705,23
7.631836,0.133625,0.075536,53
7.946777,0.152169,0.098152,45
8.107910,0.131632,0.060319,54
8.547363,0.138174,0.057287,51
8.730469,0.282998,0.110464,17
8.964844,1.175262,1.127327,3
9.169922,0.152421,0.057169,44
9.418945,0.257431,0.181786,21
9.543457,0.166380,0.079136,37
9.726563,0.160329,0.083362,40
10.026855,0.120901,0.053903,60
10.209961,0.156777,0.097068,42
10.473633,0.139770,0.071981,50
11.140137,0.211154,0.088901,27
11.308594,0.748865,0.689888,6
12.004395,0.678383,0.609723,7
12.253418,0.145699,0.061543,46
12.524414,0.152854,0.088164,43
12.927246,0.223262,0.108648,25
13.125000,0.192246,0.060274,31
13.256836,0.312535,0.248628,16
13.432617,0.169671,0.056990,36
13.674316,0.163008,0.077261,38
14.238281,0.117396,0.052273,61
14.707031,0.128684,0.067119,56
15.842285,0.140950,0.060397,48
16.025391,0.179226,0.090950,32
16.333008,0.160067,0.064777,41
16.494141,0.224782,0.056108,24
16.625977,0.574586,0.514748,9
17.014160,0.114961,0.051271,62
18.354492,0.198472,0.140012,30
18.757324,0.134566,0.071542,52
19.028320,0.125673,0.056782,57
19.606934,0.124703,0.062378,58
19.841309,0.123789,0.063439,59
