peak_hz,adaptive_half_width_hz,best_view,best_score,best_corr,best_slope,n_good_views,n_solid_views,top3_mean_score,high_frequency_score
11.3332775353,0.25,IMG_0681_rot270:x,1.3570973554347465,0.9898147955737808,1.1183609611570913,8,8,1.3263512358717777,3.8863512358717776
12.0158503351,0.2,IMG_0680_rot270:y,1.422799766666882,0.9829340022105463,0.9924898513950561,5,7,1.3435442504642994,3.1435442504642994
13.7460738293,0.2,CDX_10IC:a,1.2151394008511236,0.9549792943517587,0.9609084625496099,6,6,1.2045717321560085,3.1245717321560087
12.5370877458,0.2,CDX_10IC:y,1.364682970366655,0.9776438472798686,1.0041485283219984,5,7,1.3179103745506702,3.1179103745506707
18.3613165321,0.15,IMG_0681_rot270:y,1.0262807363925672,0.9069744299130795,0.9392214832394116,3,5,0.9831969351386701,2.14319693513867
13.2568917893,0.2,IMG_0680_rot270:x,1.01856888331383,0.8532249329570898,0.9546342845470803,3,5,0.9444759203421119,2.1044759203421117
14.2476787985,0.2,IMG_0681_rot270:y,1.1268556213954481,0.9356839278764464,0.9742012463724815,3,4,1.0046672222648427,2.0646672222648426
14.7008972301,0.2,IMG_0681_rot270:y,1.0192369804520414,0.8357194821048912,1.0463349597618565,2,5,0.9866976752688984,1.9266976752688985
16.6009768024,0.15,IMG_0680_rot270:y,1.0028404997673421,0.8915383429096493,0.980361998857762,2,3,0.93943190975784,1.67943190975784
15.8234583338,0.15,IMG_0680_rot270:y,1.0042601918078582,0.9279909290373152,0.9840598819307407,2,3,0.9343169651583136,1.6743169651583136
13.1079668148,0.2,IMG_0681_rot270:y,0.9567470881944963,0.9147046477473286,1.1709203566724307,2,3,0.927798072690508,1.667798072690508
16.024945064,0.15,IMG_0680_rot270:y,0.961664942273216,0.9049368821806153,0.8989999378307373,1,3,0.8964207834698089,1.416420783469809
12.9342210112,0.2,IMG_0681_rot270:y,0.9553192540574856,0.9403248231376307,1.1169955911245502,1,1,0.841646527494666,1.1616465274946661
