family_label,repr_hz,repr_amp,persistence,region_mean_amp,amp_rank,amp_0680,reproducible,incoming_best,outgoing_best,outgoing_count,mode_score
F03,4.190784801137673,0.20718764924406707,1.0,0.5578978896794136,0.8787878787878788,0.064994018192419,1.0,nan,0.22327818920962944,6,3.208512368071232
F15,8.96164772727553,0.32686204024936544,1.0,0.3283408405406187,0.9393939393939394,0.0984696064734764,1.0,-0.01964195179477058,0.15282154082245944,4,2.998965651766203
F02,3.965465198864866,0.602146666999927,1.0,0.5568442042764985,0.9696969696969697,0.07266527157515183,1.0,nan,0.0492986403603818,4,2.973215547852593
F14,8.820223721593663,0.1543070136691137,1.0,0.3283408405406187,0.8484848484848485,0.09855067040531673,1.0,-0.030285685017856497,0.14553908887335326,4,2.8855052715058305
F01,3.371803977273755,1.7955202778204191,1.0,1.728944749811077,1.0,0.9406753616650156,1.0,nan,0.03903704983713227,3,2.8834222299022794
F04,4.7921697443197235,0.0797262285285576,1.0,0.0717784270512812,0.7878787878787878,0.02967553361111026,1.0,nan,0.24388175849980961,4,2.871783600554431
F12,8.026544744320685,0.0396103718989716,1.0,0.0367411896577032,0.45454545454545453,0.025481763824953093,1.0,0.042332939805860254,0.22545669199573362,6,2.6859120317199343
F16,9.40669389204844,0.07883255131059802,1.0,0.07091685234536009,0.7575757575757576,0.03676792113156551,1.0,-0.0680284285615872,0.08148012434831697,3,2.6179789836998992
F05,4.902965198865155,0.0781743671871374,1.0,0.07013564756175003,0.7272727272727273,0.03021256789253369,1.0,nan,0.02530189328259865,3,2.547908408696832
F11,7.890713778411583,0.041594555650669995,1.0,0.040176310006289385,0.5151515151515151,0.025745043421397,1.0,0.007790900784197224,0.24388175849980961,4,2.5417840580072353
F07,6.35555752841107,0.22609236997822954,1.0,0.2177210189156158,0.9090909090909091,0.2734332715477407,1.0,nan,0.046212604213389775,1,2.5386366534371247
F18,12.05273437500379,0.05795265966554599,1.0,0.06114168349411027,0.6666666666666666,0.095571834057563,1.0,0.013444568859905824,0.08148012434831697,3,2.5041824755080233
F17,11.311257102276267,0.06329859979121778,1.0,0.061848511830749964,0.696969696969697,0.0150163171151002,1.0,0.03903704983713227,0.13570782680635862,2,2.444125365004455
F13,8.402077414775336,0.02965077260288944,1.0,0.031712117599710876,0.3939393939393939,0.02748303225203129,1.0,-0.017004564619083798,0.22327818920962947,4,2.3866941862530506
F10,7.712269176138788,0.04288764666822365,1.0,0.04017888510364114,0.5454545454545454,0.02490025816321326,1.0,nan,0.10755605522754294,3,2.3790790876819803
F06,5.415660511365317,0.12009695345137623,1.0,0.10762259818480793,0.8181818181818182,0.08737536508049804,1.0,nan,-0.018247848449082654,0,2.2818181818181817
F20,13.04856178977678,0.04924068860410876,1.0,0.047953060425876645,0.6363636363636364,0.035657128876357726,1.0,0.14553908887335334,0.021394678637774292,1,2.145534489713355
F09,6.993696732956727,0.04001161824899287,1.0,0.03911233648814352,0.48484848484848486,0.0500037501114745,1.0,nan,0.13570782680635862,1,2.083242877901997
F21,13.208895596595026,0.04583265059123541,1.0,0.04649033562704597,0.5757575757575758,0.031491984785798385,1.0,0.1528215408224594,0.03557449893317665,1,2.078766250981136
F08,6.888760653411199,0.04663567998951269,1.0,0.04488568689029741,0.6060606060606061,0.06750103188681028,1.0,-0.06717615886690033,-0.023723290321103173,0,2.0272727272727273
F19,12.60697798295853,0.03681836618996346,1.0,0.03676178852942929,0.42424242424242425,0.034756126424552676,1.0,0.24388175849980961,0.02326890380763965,2,1.9776936359005595
F23,14.242808948868063,0.009130935083498161,1.0,0.00902911199559837,0.12121212121212122,0.011685902192521318,1.0,0.046212604213389775,0.10868617714035772,4,1.9744918402640736
F28,18.36434659091484,0.0109797196873844,1.0,0.010643117427018591,0.18181818181818182,0.016234155738619378,1.0,0.13570782680635862,0.02716723920526208,2,1.72698442232275
F27,16.59774502841427,0.012286209833829302,1.0,0.012588146261923496,0.2727272727272727,0.010520642929247164,1.0,0.10755605522754294,0.027196074460128724,1,1.7259457526191644
F30,21.401633522733952,0.020516608973005925,1.0,0.019773042747714978,0.36363636363636365,0.019869378814853015,1.0,0.08148012434831697,nan,0,1.7078455928417253
F22,13.651544744322445,0.016851674341484213,1.0,0.02587169323657057,0.3333333333333333,0.019123797435323206,1.0,-0.0016404612849818256,-0.02518983577455173,0,1.7
F33,23.157848011370874,0.013581697296790683,1.0,0.01315065695721517,0.30303030303030304,0.015693894236008903,1.0,0.10868617714035778,nan,0,1.6255962016372383
F25,15.939897017050477,0.0121089415926691,1.0,0.01168188743288336,0.24242424242424243,0.0135209443088613,1.0,0.21204102624967858,-0.03109413347687157,0,1.5166947317217034
F26,16.049893465914103,0.011993357807503005,1.0,0.011756923653326685,0.21212121212121213,0.01355172200265243,1.0,0.22545669199573362,-0.0307148830867933,0,1.4756356123469478
F29,20.75710227273378,0.010554470813935674,1.0,0.010284854805410222,0.15151515151515152,0.008935017661438486,1.0,0.027196074460128727,-0.09220094603190714,0,1.4722995557571368
F24,14.707031250004631,0.008170907238442923,1.0,0.007971540310490303,0.09090909090909091,0.011252743935034993,1.0,-0.024353145063959438,-0.03345831445726342,0,1.4090909090909092
F31,21.895951704552324,0.006224816536205332,1.0,0.0062203421035495615,0.06060606060606061,0.00868298922236047,1.0,-0.015055345293142564,-0.06311592242350386,0,1.3727272727272728
F32,22.597745028416167,0.006124185622666188,1.0,0.005906134516361919,0.030303030303030304,0.009153489424720742,1.0,0.03395658602996243,-0.020324426010491687,0,1.3244788312531495
F34,28.853959517054484,0.0038774188684715786,1.0,0.0036502111243554188,0.0,0.005698953293180014,1.0,-0.0203244260104917,nan,0,1.3
