family_id,family_label,repr_hz,repr_std_hz,repr_amp,raw_peaks,n_raw_peaks,best_pair_excess,best_harmonic_excess,child_evidence,best_relation,outgoing_count,tag
1,F01,3.371803977273755,0.10038284263205034,1.7955202778204191,3.329 3.639,2,nan,nan,nan,,3,parent-like-or-unresolved
2,F02,3.965465198864866,0.09618804060583053,0.602146666999927,3.776 3.974 4.185,3,nan,nan,nan,,4,parent-like-or-unresolved
3,F03,4.190784801137673,0.11974871358022719,0.20718764924406707,4.359,1,nan,nan,nan,,6,parent-like-or-unresolved
4,F04,4.7921697443197235,0.17250855666349107,0.0797262285285576,4.766,1,nan,nan,nan,,4,parent-like-or-unresolved
5,F05,4.902965198865155,0.13078632623818603,0.0781743671871374,4.944,1,nan,nan,nan,,3,parent-like-or-unresolved
6,F06,5.415660511365317,0.11845530192260315,0.12009695345137623,5.190 5.451,2,nan,nan,nan,,0,parent-like-or-unresolved
7,F07,6.35555752841107,0.05009014421110005,0.22609236997822954,6.369,1,nan,nan,nan,,1,parent-like-or-unresolved
8,F08,6.888760653411199,0.15880258864234256,0.04663567998951269,6.897,1,nan,-0.06717615886690033,-0.06717615886690033,2 x F01,0,parent-like-or-unresolved
9,F09,6.993696732956727,0.11986239291003412,0.04001161824899287,7.082,1,nan,nan,nan,,1,parent-like-or-unresolved
10,F10,7.712269176138788,0.16015829228487322,0.04288764666822365,7.628,1,nan,nan,nan,,3,parent-like-or-unresolved
11,F11,7.890713778411583,0.16875042876012125,0.041594555650669995,7.956,1,-0.03417336409411223,0.007790900784197224,0.007790900784197224,2 x F02,4,parent-like-or-unresolved
12,F12,8.026544744320685,0.18227353296654591,0.0396103718989716,8.106,1,-0.04213188022819457,0.042332939805860254,0.042332939805860254,2 x F02,8,child-like
13,F13,8.402077414775336,0.1497294389736301,0.02965077260288944,8.332,1,-0.04859553848698632,-0.017004564619083798,-0.017004564619083798,2 x F03,4,parent-like-or-unresolved
14,F14,8.820223721593663,0.1001544406089271,0.1543070136691137,8.557,1,-0.030285685017856497,nan,-0.030285685017856497,F01 + F06,4,parent-like-or-unresolved
15,F15,8.96164772727553,0.01988794890157197,0.32686204024936544,8.742 8.950,2,-0.01964195179477058,nan,-0.01964195179477058,F03 + F04,4,parent-like-or-unresolved
16,F16,9.40669389204844,0.16395934914729823,0.07883255131059802,9.403,1,-0.0680284285615872,-0.07884578812584417,-0.0680284285615872,F02 + F06,3,parent-like-or-unresolved
17,F17,11.311257102276267,0.07675816367014639,0.06329859979121778,11.333,1,0.03903704983713227,nan,0.03903704983713227,F01 + F11,2,parent-like-or-unresolved
18,F18,12.05273437500379,0.12959446322462947,0.05795265966554599,12.016,1,0.013444568859905824,-0.01839992306006666,0.013444568859905824,F02 + F12,3,parent-like-or-unresolved
19,F19,12.60697798295853,0.2476308977205215,0.03681836618996346,12.537,1,0.24388175849980961,-0.08337635080457081,0.24388175849980961,F04 + F11,2,child-like
20,F20,13.04856178977678,0.16255977417055534,0.04924068860410876,12.934 13.108,2,0.14553908887335334,nan,0.14553908887335334,F03 + F14,1,child-like
21,F21,13.208895596595026,0.13302771415488449,0.04583265059123541,13.257,1,0.1528215408224594,nan,0.1528215408224594,F03 + F15,1,child-like
22,F22,13.651544744322445,0.18792229378925357,0.016851674341484213,13.746,1,-0.0016404612849818256,-0.04385637829349033,-0.0016404612849818256,F04 + F14,0,parent-like-or-unresolved
23,F23,14.242808948868063,0.17576732737802356,0.009130935083498161,14.248,1,0.046212604213389775,-0.03525358660455241,0.046212604213389775,F07 + F11,4,child-like
24,F24,14.707031250004631,0.1994849074356198,0.008170907238442923,14.701,1,-0.024353145063959438,-0.041939341039515965,-0.024353145063959438,F08 + F10,0,parent-like-or-unresolved
25,F25,15.939897017050477,0.19619688959602355,0.0121089415926691,15.823,1,0.21204102624967858,-0.012179455414823348,0.21204102624967858,F11 + F12,0,child-like
26,F26,16.049893465914103,0.12407791908032131,0.011993357807503005,16.025,1,0.22545669199573362,-0.05513299944237707,0.22545669199573362,F12 + F12,0,child-like
27,F27,16.59774502841427,0.14520986415920115,0.012286209833829302,16.601,1,0.10755605522754294,0.0004085149541152161,0.10755605522754294,F10 + F14,1,child-like
28,F28,18.36434659091484,0.12761209992727615,0.0109797196873844,18.361,1,0.13570782680635862,nan,0.13570782680635862,F09 + F17,2,child-like
29,F29,20.75710227273378,0.17585871227331923,0.010554470813935674,20.788,1,0.027196074460128727,-0.090944578586741,0.027196074460128727,F03 + F27,0,parent-like-or-unresolved
30,F30,21.401633522733952,0.08035382800684185,0.020516608973005925,21.399,1,0.08148012434831697,nan,0.08148012434831697,F16 + F18,0,child-like
31,F31,21.895951704552324,0.1735917357142375,0.006224816536205332,21.960,1,-0.015055345293142564,nan,-0.015055345293142564,F10 + F23,0,parent-like-or-unresolved
32,F32,22.597745028416167,0.19849587656372936,0.006124185622666188,22.563,1,0.03395658602996243,-0.014724912782028199,0.03395658602996243,F13 + F23,0,parent-like-or-unresolved
33,F33,23.157848011370874,0.08254673574915522,0.013581697296790683,23.159,1,0.10868617714035778,-0.01240748017035459,0.10868617714035778,F14 + F23,0,child-like
34,F34,28.853959517054484,0.1756139037502596,0.0038774188684715786,28.864,1,-0.0203244260104917,nan,-0.0203244260104917,F07 + F32,0,parent-like-or-unresolved
