family_label,repr_hz,repr_amp,contrast_db_0681,contrast_db_0680,contrast_mean_0681,contrast_mean_0680,std_db_0681,std_db_0680
F01,3.371803977273755,1.7955202778204191,21.579073592300748,24.402400144951418,14.636039528544236,21.518652770898836,5.5768345908930925,7.829656345227718
F15,8.96164772727553,0.32686204024936544,20.64983715641917,14.007831229318953,12.906285450164964,7.9312348127573244,5.206681205041665,9.535769186528253
F14,8.820223721593663,0.1543070136691137,20.34088375143422,13.22911043233301,12.303197111435493,6.438387388471914,5.187168191102138,8.157466888176838
F07,6.35555752841107,0.22609236997822954,18.78780483280356,19.33721838597787,9.198457918449488,13.02439175455624,3.020539773763477,8.523098937325086
F02,3.965465198864866,0.602146666999927,16.784100864690522,7.692115227133121,8.670853169648478,2.780069735499629,6.181964619099435,4.64597853658606
F17,11.311257102276267,0.06329859979121778,14.988382797055,2.7789501906806695,7.513069109563775,1.420027840961008,7.3866824743957675,2.125965180022601
F18,12.05273437500379,0.05795265966554599,13.668234693262983,14.066923458990155,6.182616204434558,7.967963815863587,6.841911865795725,9.197945711537598
F30,21.401633522733952,0.020516608973005925,11.465540553209575,9.373213351849074,4.165224015584792,4.0010872011756184,3.961507414224358,6.829523564586068
F06,5.415660511365317,0.12009695345137623,10.82859983429896,9.669330691017416,3.5318622679957095,4.208581582923426,1.5097289150017699,7.0395249980039605
F33,23.157848011370874,0.013581697296790683,10.197420845407116,6.970522317290846,3.7661289494267978,2.951185749597136,5.088494768593386,6.202830714150936
F03,4.190784801137673,0.20718764924406707,8.27905233328082,1.7369319192238237,2.885985689842771,1.2974079211899752,3.9100155015611486,3.173891705290608
F27,16.59774502841427,0.012286209833829302,6.662806053601666,1.3903468954822187,2.856398709191619,1.2060141912111213,6.0403675702184545,2.0729452337618346
F26,16.049893465914103,0.011993357807503005,6.588532996421556,3.6564723405265185,2.2671258207407083,1.55328069109877,2.917204954883871,1.7095374812289492
F20,13.04856178977678,0.04924068860410876,6.433649909118344,2.610396377208688,2.190981794809825,1.4344699053302272,2.619580113517775,2.9347173252102516
F25,15.939897017050477,0.0121089415926691,6.2738167134836065,2.9181894948010996,2.180294534870268,1.44254626275514,2.8723198947327018,2.23678743844312
F10,7.712269176138788,0.04288764666822365,5.835897159241298,1.4311256233756793,2.3121031356737216,1.2492161876949919,5.1177394743744085,3.0518096597795337
F21,13.208895596595026,0.04583265059123541,5.474003418896338,3.843400102925044,2.1204089410598725,1.6606595119798828,3.957979045670763,3.2510535251689006
F09,6.993696732956727,0.04001161824899287,5.0535567302035105,1.6534961440921823,1.982485075517745,1.4419065469709929,4.168052761512932,4.94862585138902
F11,7.890713778411583,0.041594555650669995,4.838918103120704,3.3055857257020462,1.8477373597963094,1.5940332752901445,3.058748874368245,3.674600722755102
F28,18.36434659091484,0.0109797196873844,4.768660022040257,7.242241449231867,1.833201072172623,2.8374094735712396,2.9766954955766347,5.717487254417171
F29,20.75710227273378,0.010554470813935674,3.961071887159025,0.01720954775637873,1.656699097919174,1.0190743757161735,2.7577045394017126,1.5778689054540702
F08,6.888760653411199,0.04663567998951269,3.55825475162266,0.7408311605020851,1.640359276530723,1.2179990480551577,3.612573324643158,4.130599999764802
F05,4.902965198865155,0.0781743671871374,3.406981745867533,-1.1895100651051278,1.5729178246463464,0.9094302398390898,2.874165697616485,2.546326634778742
F12,8.026544744320685,0.0396103718989716,3.367135677272537,3.2532004601875073,1.560103785070302,1.6158002748869424,3.10756801826306,3.756402787054478
F34,28.853959517054484,0.0038774188684715786,2.3789762131642425,2.4673204845890444,1.3700827370720732,1.351659477036921,2.4184308012431797,1.5944051121671263
F16,9.40669389204844,0.07883255131059802,2.104188782055508,-2.404311739849155,1.4813437986955271,0.8816281087344906,4.765819846557621,4.9554962110895735
F24,14.707031250004631,0.008170907238442923,1.758354007180494,2.0884451056164695,1.2314669820017934,1.315314978238228,0.9258613833853644,2.1854979700353323
F04,4.7921697443197235,0.0797262285285576,1.5482246329938278,-1.8703669235141611,1.263943986341014,0.8476308541788052,3.226723227751054,2.8097263958792515
F32,22.597745028416167,0.006124185622666188,1.3276454670686675,1.8646983362332985,1.208859717625685,1.2829752623979946,2.3100437017844015,2.2117010827677914
F31,21.895951704552324,0.006224816536205332,1.1042177299838403,1.4551717521783805,1.1702120242356764,1.2357845798393694,2.1198169468456953,2.6197836725515566
F23,14.242808948868063,0.009130935083498161,1.091091345972325,1.4899832654533554,1.1581472555356513,1.2363255358095055,1.7999825208409324,2.451379809599135
F22,13.651544744322445,0.016851674341484213,-0.9656139663593326,-0.33150258338759486,0.9421213688788848,0.9817439058678146,2.830500067675105,1.7319075926953214
F13,8.402077414775336,0.02965077260288944,-1.890490281337432,-0.4581120188403194,0.8498012170837157,1.0423494087045682,2.7865522415140727,4.087117106374503
F19,12.60697798295853,0.03681836618996346,-3.2091627108955327,1.6704198035821822,0.721387255353634,1.2668307608220926,2.634145785081612,2.630334131740667
